60, 1901.3577, 1686.9125, 1161.4185
54, 1845.1183, 1700.5872, 1127.4456
58, 1904.6738, 1710.9943, 1174.2433
61, 1841.3696, 1795.3074, 1342.0093
48, 2063.2139, 1584.7311, 974.33368
49, 2058.8579, 1437.7791, 768.18451
48, 1947.1125, 1765.4225, 1087.5925
45, 2077.1624, 1778.6006, 1771.8228
45, 2029.8582, 1812.572, 1806.4807
45, 2100.5598, 1824.1195, 1786.7223
44, 2011.9102, 1788.193, 1770.7753
42, 1991.8839, 1828.5236, 1380.1302
42, 2051.1089, 1766.7181, 1011.7355
41, 2018.3187, 1724.104, 1025.5491
41, 2049.5115, 1787.5955, 1092.2555
39, 2006.7546, 1650.5662, 973.08929
40, 1969.4857, 1621.5242, 1290.9636
41, 2029.599, 1632.931, 1138.5972
43, 1994.3839, 1694.0577, 853.11932
45, 2003.3092, 1279.0223, 812.67853
43, 1925.0466, 1832.7825, 1813.0404
44, 1981.1921, 1577.2125, 1055.6843
49, 1957.9436, 1868.3318, 1855.2098
52, 2091.823, 1805.3441, 1802.4066
51, 2041.5587, 1645.1523, 740.13141
48, 2009.3269, 1660.7037, 986.40759
47, 2033.4565, 1718.7668, 884.25281
44, 2079.2849, 1729.9713, 774.12964
55, 319.17233, 1980.657, -85.129654
57, 304.07803, 1903.4434, -149.66571
50, 1844.9971, 1832.3945, 1790.8395
50, 1944.1816, 1680.5636, 1669.0181
45, 1899.2194, 1652.0652, 804.2099
44, 1911.2555, 1557.2107, 672.16779
45, 1959.6414, 1778.8118, 1729.8276
42, 2033.9086, 1869.8284, 1848.5725
47, 1962.963, 1615.0472, 934.8927
45, 2130.051, 1829.2826, 995.45721
46, 1992.1067, 1653.2434, 755.1073
44, 2018.0568, 1689.3363, 985.42114
44, 1997.7688, 1818.8007, 1096.576
43, 2027.4171, 1694.9966, 1109.6548
46, 1949.7446, 1740.3046, 993.69958
47, 2036.074, 1708.7362, 1055.0004
51, 1850.3114, 1620.7382, 672.3739
48, 1870.6145, 1571.2351, 643.35114
46, 1922.8413, 1540.8204, 606.71301
47, 1917.1836, 1592.6825, 693.26849
49, 1900.1073, 1745.4686, 1717.8835
50, 1979.6388, 1842.9614, 1831.0321
51, 2010.0787, 1496.5573, 879.53339
48, 2070.762, 1723.469, 723.54999
46, 2121.449, 1795.1088, 1118.0425
49, 1990.8884, 1640.8733, 937.93237
47, 1981.1375, 1668.1471, 943.99274
49, 1995.5657, 1984.3492, 1915.7012
49, 1982.3469, 1368.3735, 691.10486
50, 1939.1637, 1482.636, 467.7811
52, 1882.985, 1724.3356, 527.73688
50, 1895.9812, 1648.0364, 758.659
52, 1954.8464, 1619.3656, 618.73535
51, 1896.1088, 1485.6508, 757.83099
50, 1926.8926, 1575.1859, 880.0625
51, 1933.8036, 1898.3912, 1886.4418
51, 2039.3336, 1734.806, 915.46729
50, 1977.7556, 1676.7976, 833.86627
50, 2006.3573, 1707.543, 1114.8
47, 2052.1448, 1722.4756, 913.63617
46, 2114.51, 1698.1381, 1465.5027
44, 2117.1619, 1795.754, 1748.2072
45, 2072.1816, 1853.6631, 1849.8481
